NAMESPACE            NAME                                                 READY   STATUS                   RESTARTS       AGE     IP              NODE                         NOMINATED NODE   READINESS GATES
calico-system        calico-kube-controllers-54fc4ff65d-cpsws             1/1     Running                  29 (17h ago)   21d     192.168.3.177   hostname-txyuq.foreman.pxe   <none>           <none>
calico-system        calico-node-8tl5w                                    1/1     Running                  29 (17h ago)   21d     193.124.7.2     hostname-txyuq.foreman.pxe   <none>           <none>
calico-system        calico-typha-67c6dfc984-d2jm6                        1/1     Running                  63 (17h ago)   21d     193.124.7.2     hostname-txyuq.foreman.pxe   <none>           <none>
calico-system        csi-node-driver-bf2bg                                2/2     Running                  59 (17h ago)   21d     192.168.3.164   hostname-txyuq.foreman.pxe   <none>           <none>
clawbox-benchmarks   cube-vertical-slice-worker-wq9nv                     0/1     Completed                0              3d10h   <none>          hostname-txyuq.foreman.pxe   <none>           <none>
clawbox-system       clawbox-cell-controller-5886d84868-2vgbl             0/1     Error                    9              2d19h   192.168.3.172   hostname-txyuq.foreman.pxe   <none>           <none>
clawbox-system       clawbox-cell-controller-5886d84868-d4h4j             1/1     Running                  0              12h     192.168.3.147   hostname-txyuq.foreman.pxe   <none>           <none>
clawbox-system       clawbox-cell-controller-5886d84868-f8srb             0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-api-67477b67f7-g9gfw                            1/1     Running                  0              49m     192.168.3.190   hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-api-777c44bf8f-ccl6x                            0/1     Completed                1 (17h ago)    22h     192.168.3.176   hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-api-777c44bf8f-xp9rs                            0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-cubemastercli-7648bd9ff-5d254                   0/1     Error                    13             3d11h   192.168.3.156   hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-cubemastercli-7648bd9ff-78rsc                   1/1     Running                  0              12h     192.168.3.137   hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-cubemastercli-7648bd9ff-c972b                   0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-lifecycle-manager-c47c596dd-6r4cz               1/1     Running                  5 (12h ago)    12h     192.168.3.170   hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-lifecycle-manager-c47c596dd-nf9cg               0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-lifecycle-manager-c47c596dd-zm77j               0/1     Completed                23 (17h ago)   3d11h   192.168.3.132   hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-master-68fcc8d5f6-qbkwl                         0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-master-68fcc8d5f6-rljd8                         0/1     ContainerStatusUnknown   28 (17h ago)   3d11h   192.168.3.189   hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-master-789665b86f-7ch4d                         1/1     Running                  0              49m     192.168.3.134   hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-minio-0                                         1/1     Running                  0              12h     192.168.3.168   hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-mysql-0                                         1/1     Running                  0              12h     192.168.3.155   hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-node-bootstrap-cl66z                            1/1     Running                  0              12h     192.168.3.173   hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-node-installer-86slt                            4/4     Running                  0              12h     192.168.3.185   hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-node-nrbrz                                      0/3     Init:0/1                 0              13m     192.168.3.146   hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-ops-69b5fb7679-2xjvc                            1/1     Running                  6 (12h ago)    12h     192.168.3.179   hostname-txyuq.foreman.pxe   <none>           <none>
cube-system          cube-ops-69b5fb7679-8n6qk                            0/1     Completed                29 (17h ago)   3d11h   192.168.3.169   hostname-txyuq.foreman.pxe   <none>           <none>
